Index,Cmd_X,Cmd_Y,Cmd_Z,Theta1,Theta2,Theta3
0,64.506,52.785,-202.524,-12.2,21.7,-19.3
1,66.634,99.295,-199.252,3.1,35.9,-24.6
2,-68.846,72.203,-203.641,29.4,-5.4,-20.1
3,28.068,-83.075,-222.094,-9.8,4.0,30.9
4,55.326,18.983,-205.106,-18.3,11.2,-12.3
5,12.263,-1.729,-191.314,-24.5,-17.2,-20.0
6,-75.349,-20.632,-229.1,25.2,-10.2,16.3
7,77.195,-59.084,-216.984,-19.0,19.2,25.0
8,-41.509,-6.419,-192.235,-6.1,-30.2,-15.1
9,-71.469,13.571,-228.4,27.3,-6.1,5.5
10,-71.378,-74.193,-232.97,25.0,-8.7,36.9
11,-4.146,6.494,-216.968,-1.8,-4.0,-5.8
12,-1.948,11.344,-221.013,0.7,-0.2,-4.7
13,88.406,73.706,-225.324,6.6,45.1,-3.1
14,72.843,-36.309,-223.938,-14.2,20.9,18.7
15,42.802,32.142,-209.347,-11.0,11.4,-14.4
16,-38.138,-96.52,-194.733,-7.0,-27.4,27.2
17,17.304,-108.497,-203.259,-16.6,-7.6,34.9
18,25.978,98.768,-232.808,25.2,36.1,-9.0
19,-108.205,5.564,-192.88,27.7,-30.0,-3.5
20,45.756,-81.494,-201.522,-25.4,-1.4,23.3
21,93.839,2.051,-212.714,-18.1,28.3,4.8
22,-90.76,0.021,-210.056,25.5,-20.1,3.1
23,-23.717,-20.658,-219.047,1.6,-10.4,4.6
24,-78.079,5.145,-219.295,24.7,-13.3,3.9
25,-13.481,-9.553,-227.196,4.3,-2.3,5.0
26,37.357,-66.139,-198.436,-27.4,-7.3,13.7
27,-112.417,-9.663,-194.263,28.5,-30.7,3.8
28,88.741,19.97,-197.084,-25.2,22.3,-10.8
29,-108.718,41.531,-199.965,37.0,-17.9,-8.2
30,-116.736,11.0,-221.612,43.0,-10.7,13.5
31,115.29,24.984,-238.395,1.5,50.5,18.7
32,121.987,13.132,-220.374,-10.8,45.2,14.0
33,-24.428,21.107,-199.327,-3.2,-17.0,-20.4
34,14.148,-94.705,-232.219,-0.3,6.5,39.3
35,27.475,26.772,-194.17,-19.9,-3.8,-25.2
36,-6.596,1.977,-200.619,-12.0,-15.7,-14.8
37,29.376,50.627,-218.427,1.4,15.9,-13.2
38,-31.604,-56.255,-231.074,9.1,-6.0,24.1
39,95.227,-30.547,-215.746,-19.4,27.2,17.4
40,55.537,24.506,-235.926,1.6,26.7,4.7
41,3.409,25.168,-226.031,4.9,6.5,-5.0
42,-34.721,-104.615,-216.887,5.5,-11.9,39.0
43,105.332,9.728,-214.473,-15.7,35.1,6.7
44,-98.678,39.547,-237.752,45.9,3.8,11.0
45,-13.194,-18.97,-235.933,8.0,1.8,12.5
46,93.039,55.264,-224.097,0.1,41.9,-0.6
47,-98.672,2.255,-212.897,30.5,-17.9,6.1
48,-72.034,43.79,-204.326,23.2,-14.2,-15.2
49,-41.586,-114.414,-227.893,15.3,-5.1,48.0
50,-15.327,-121.08,-216.778,1.7,-6.0,45.5
51,-75.817,27.94,-202.578,20.4,-19.5,-12.3
52,-106.435,48.347,-216.978,43.2,-5.8,-0.1
53,93.693,1.563,-209.872,-20.0,27.0,3.3
54,-12.131,111.294,-194.773,21.3,15.0,-33.0
55,-38.499,-105.865,-218.002,7.7,-11.6,40.3
56,-25.265,2.46,-216.005,3.2,-9.8,-4.4
57,-20.174,52.005,-197.429,2.5,-8.9,-28.1
58,-54.682,-68.662,-222.668,13.0,-13.8,27.7
59,-11.269,66.974,-218.682,15.4,10.0,-16.1
60,-92.47,49.501,-230.17,42.6,2.0,3.6
61,-100.239,62.637,-237.365,51.1,9.7,7.7
62,-12.129,-26.43,-214.519,-5.1,-11.3,3.6
63,39.494,13.625,-239.151,3.3,21.2,7.0
64,41.129,69.894,-232.645,13.0,31.1,-6.0
65,107.552,10.094,-218.267,-13.2,37.6,9.2
66,36.445,-103.478,-210.219,-16.3,2.3,36.2
67,90.19,-41.348,-196.855,-32.0,16.0,11.1
68,-36.739,11.484,-210.594,5.6,-13.7,-9.3
69,18.388,70.182,-209.775,4.8,14.1,-21.8
70,-89.342,-17.263,-219.342,27.0,-16.2,13.2
71,73.083,-48.804,-216.916,-18.9,17.4,20.1
72,70.276,-73.158,-201.906,-27.7,9.0,23.3
73,-49.128,97.723,-206.235,31.8,8.1,-22.8
74,68.266,34.823,-202.841,-17.3,18.9,-15.2
75,-8.29,-120.876,-214.204,-1.8,-6.0,44.4
76,-67.084,6.026,-230.421,25.5,-5.8,7.8
77,57.394,34.478,-232.321,1.4,27.6,0.9
78,-31.476,92.315,-197.297,20.3,3.8,-30.4
79,90.901,55.074,-213.793,-5.9,37.2,-7.1
80,-62.768,-100.515,-204.088,9.2,-23.3,35.8
81,10.2,68.486,-205.855,3.9,9.2,-24.6
82,-25.01,112.026,-194.796,25.4,12.6,-32.3
83,-46.108,-24.711,-238.071,18.5,-2.8,17.8
84,-44.773,-31.743,-220.872,8.8,-13.4,11.3
85,-68.762,-98.352,-239.295,29.2,-3.1,48.9
86,77.106,-89.544,-233.383,-7.8,28.8,44.3
87,-41.996,-28.438,-227.598,11.6,-8.7,13.3
88,36.91,73.315,-226.2,11.3,28.1,-10.6
89,-56.187,-28.444,-206.811,6.0,-23.5,4.2
90,93.845,46.247,-198.999,-17.6,31.0,-14.0
91,63.725,-70.622,-208.012,-23.5,9.2,23.6
92,62.205,-60.469,-211.526,-21.5,10.1,20.5
93,9.436,-121.879,-200.97,-14.1,-9.1,40.5
94,79.065,63.062,-194.884,-14.7,27.5,-22.8
95,88.559,2.557,-239.495,-2.0,37.2,17.6
96,57.067,-89.471,-217.797,-15.7,12.8,35.0
97,68.604,-5.084,-226.18,-10.0,22.7,8.8
98,22.615,118.689,-223.76,29.7,39.0,-14.5
99,3.249,102.523,-202.412,16.9,18.5,-28.4
100,-71.914,72.429,-232.844,41.7,10.9,-1.9
101,-14.096,48.739,-235.423,19.3,12.9,-3.5
102,62.784,-31.259,-215.006,-18.9,12.8,10.6
103,-20.236,73.09,-222.74,21.7,12.2,-13.8
104,-20.369,52.352,-228.61,18.6,9.1,-7.8
105,-2.981,-106.748,-208.026,-9.1,-10.7,35.4
106,-3.33,-29.794,-225.706,-1.1,-2.8,10.6
107,-71.726,69.918,-202.261,29.3,-7.3,-20.2
108,23.428,-5.929,-237.958,2.4,13.2,10.2
109,105.138,-50.508,-197.242,-31.2,23.7,19.3
110,-65.574,103.529,-224.164,45.8,18.2,-9.8
111,-24.432,-100.66,-232.099,10.0,-1.7,42.2
112,39.771,-68.046,-236.347,-3.9,14.8,31.7
113,58.704,-99.407,-226.736,-9.5,19.1,43.0
114,103.169,51.074,-195.952,-18.0,35.2,-14.1
115,3.359,-53.302,-209.93,-13.3,-11.5,11.7
116,-79.768,54.997,-215.573,33.5,-4.6,-8.5
117,64.614,-63.26,-210.545,-22.3,10.6,21.6
118,2.872,-117.973,-228.223,2.8,4.2,47.8
119,65.58,-90.841,-220.415,-14.6,17.7,37.9
120,45.773,-79.197,-196.051,-29.3,-4.7,19.9
121,-54.778,31.938,-234.144,27.1,2.2,2.0
122,20.763,2.62,-220.282,-6.3,4.2,-2.2
123,-80.517,-16.793,-216.857,22.2,-17.5,9.8
124,-93.075,-82.58,-213.789,26.2,-20.1,37.1
125,-40.288,3.316,-228.55,14.8,-4.5,3.9
126,-44.006,-26.661,-231.716,14.5,-6.4,15.0
127,48.726,97.057,-216.722,13.4,35.5,-16.4
128,68.671,-40.527,-206.561,-25.1,10.5,10.9
129,64.391,99.417,-210.429,9.4,39.1,-18.1
130,-51.894,-111.117,-224.785,17.0,-8.6,46.6
131,40.379,-61.001,-238.61,-2.8,16.0,30.1
132,-67.005,2.3,-214.164,17.5,-16.3,-0.3
133,-9.54,-93.928,-237.919,8.3,3.8,41.0
134,6.15,-74.27,-237.913,3.2,6.1,33.0
135,-103.732,-20.29,-199.71,25.3,-28.6,7.9
136,105.547,-63.084,-191.218,-34.8,21.5,22.4
137,-96.661,-59.371,-218.688,28.8,-18.2,30.2
138,81.761,46.657,-216.669,-6.3,32.7,-6.1
139,-99.143,66.793,-210.127,42.2,-4.5,-8.7
140,107.405,53.284,-224.627,-0.0,47.3,3.7
141,103.23,2.463,-192.179,-31.2,24.5,-4.5
142,-0.342,107.618,-232.756,33.4,33.3,-9.9
143,-28.389,-32.664,-204.022,-6.7,-22.0,1.0
144,100.198,-51.89,-212.649,-21.8,27.8,25.4
145,13.17,20.592,-215.737,-4.2,2.6,-10.0
146,77.705,-29.81,-207.046,-24.7,15.4,8.8
147,-29.676,61.102,-211.508,15.6,0.5,-19.0
148,-86.533,-42.195,-212.968,21.6,-21.6,18.4
149,91.918,-36.045,-217.411,-18.7,26.2,19.4
150,-97.111,44.997,-221.187,40.2,-4.4,0.4
151,-104.567,-61.433,-229.64,37.3,-11.6,37.7
152,-70.317,-52.188,-191.882,3.3,-35.3,8.9
153,20.659,21.869,-220.144,-2.9,7.4,-7.2
154,-22.201,-56.548,-206.708,-7.9,-19.5,12.1
155,66.731,54.054,-210.522,-7.1,26.2,-14.0
156,14.982,92.274,-197.144,7.1,15.1,-31.6
157,-3.442,-88.213,-196.029,-18.9,-20.7,21.6
158,-11.873,29.097,-231.889,12.6,7.0,-2.2
159,68.947,-42.666,-196.177,-32.2,5.2,6.5
160,-41.139,110.796,-198.536,31.4,11.1,-28.6
161,-3.4,-92.146,-192.271,-21.0,-22.8,22.1
162,-0.771,-88.189,-209.781,-10.8,-11.2,27.2
163,-68.158,16.693,-203.903,15.5,-20.6,-10.2
164,103.051,4.414,-225.1,-10.1,37.5,13.1
165,-50.028,-21.676,-229.545,15.8,-8.0,12.9
166,12.703,-108.621,-197.407,-19.4,-12.6,32.7
167,66.519,-100.929,-211.548,-19.0,14.8,39.2
168,32.948,-108.458,-231.144,-2.8,13.2,45.8
169,-106.975,16.794,-207.485,34.3,-18.7,1.4
170,103.023,63.71,-201.82,-10.4,40.3,-12.3
171,95.123,-24.339,-205.742,-25.3,23.3,10.1
172,54.509,28.817,-218.241,-7.8,19.2,-6.6
173,-59.039,108.606,-195.637,35.5,6.2,-28.1
174,-79.143,-30.26,-239.287,30.8,-5.1,25.2
175,-105.86,-57.001,-200.944,25.7,-28.8,24.0
176,56.198,-104.412,-196.539,-27.1,2.7,34.0
177,-25.642,25.297,-192.209,-6.1,-21.3,-26.5
178,67.507,46.592,-201.662,-14.9,20.9,-18.3
179,-33.114,-48.701,-191.808,-13.4,-32.1,1.6
180,18.302,86.157,-208.935,10.1,19.2,-23.5
181,6.601,68.555,-203.595,3.5,7.1,-26.2
182,52.609,-49.743,-208.159,-23.0,4.3,12.9
183,46.562,74.159,-200.21,-4.3,20.3,-26.0
184,-89.805,-73.876,-193.728,14.6,-33.2,24.4
185,-94.729,-26.957,-214.487,26.7,-20.0,15.4
186,-20.265,-100.88,-213.459,-1.7,-11.9,35.1
187,108.397,33.216,-237.234,2.2,48.5,14.4
188,32.474,-24.763,-195.645,-28.1,-9.8,-6.8
189,25.242,96.871,-220.271,18.6,30.0,-16.4
190,-27.062,-42.728,-190.633,-16.4,-31.9,-2.4
191,4.808,103.762,-190.428,11.2,13.9,-36.3
192,120.053,32.103,-205.194,-16.3,42.1,0.5
193,-44.417,58.778,-239.418,32.1,12.9,-0.5
194,105.15,42.641,-236.381,3.8,48.5,11.4
195,-17.057,16.864,-211.805,0.8,-8.2,-11.4
196,98.437,15.499,-238.029,-0.9,42.1,16.0
197,-45.313,-42.406,-219.911,8.0,-14.5,14.8
198,104.382,6.031,-195.365,-28.5,26.8,-3.4
199,66.823,99.373,-207.643,7.7,39.0,-19.4
200,-63.105,62.305,-239.966,39.0,12.3,1.8
201,-31.331,34.568,-238.196,22.1,8.0,1.4
202,-42.869,97.394,-230.778,39.4,21.3,-8.7
203,-91.231,16.296,-190.529,20.1,-30.5,-13.3
204,57.994,96.045,-238.53,23.2,46.4,-2.4
205,61.535,-43.278,-226.749,-12.0,17.6,20.6
206,-95.789,-48.87,-216.114,27.2,-19.8,24.7
207,23.314,59.223,-222.064,7.0,18.1,-12.6
208,42.644,75.022,-229.862,13.0,31.9,-8.0
209,-55.348,-58.468,-199.196,0.4,-29.2,12.8
210,79.102,51.295,-214.319,-6.4,31.8,-8.8
211,35.288,34.929,-210.77,-8.3,10.1,-14.8
212,62.497,30.316,-198.494,-20.9,13.4,-18.2
213,81.492,-68.022,-239.176,-5.8,31.7,38.9
214,-31.535,-48.235,-213.814,-0.4,-16.5,12.8
215,-36.484,47.195,-235.345,25.1,8.7,-2.0
216,-111.2,-1.288,-197.616,30.1,-27.6,2.4
217,-0.074,-8.031,-225.18,-0.2,-0.2,3.2
218,79.236,42.333,-219.468,-5.7,31.9,-4.2
219,22.607,-60.589,-211.128,-16.7,-5.0,16.0
220,57.097,-75.855,-198.874,-28.7,1.6,21.0
221,-14.202,5.816,-201.776,-8.2,-16.1,-15.0
222,-10.549,-18.11,-237.257,8.1,3.2,12.9
223,94.175,-28.871,-221.575,-15.8,29.3,19.4
224,56.026,76.965,-229.071,11.6,36.3,-7.0
225,-46.275,-76.683,-230.405,14.3,-7.9,33.3
226,104.547,-44.908,-208.134,-24.4,28.0,21.8
227,-81.369,-94.453,-207.498,18.8,-22.8,37.5
228,-14.722,-22.476,-225.428,2.3,-4.9,8.2
229,14.929,-24.131,-238.883,2.7,9.6,15.7
230,100.256,-26.718,-226.095,-12.9,34.0,22.4
231,112.063,-42.552,-233.676,-8.9,42.1,34.6
232,-36.185,27.214,-233.321,19.8,3.1,0.5
233,-63.896,17.432,-207.216,15.4,-18.0,-9.2
234,51.43,84.594,-220.922,10.5,33.8,-13.0
235,-2.279,-37.479,-228.669,-0.1,-1.2,14.8
236,55.883,20.531,-213.739,-12.4,15.9,-7.2
237,88.487,-65.392,-210.265,-23.2,21.4,27.1
238,30.989,-117.022,-233.315,-0.0,15.0,50.3
239,-79.749,-96.131,-231.322,29.7,-8.5,46.8
240,-27.771,13.447,-213.255,4.3,-10.1,-8.9
241,-54.349,-20.891,-230.169,17.8,-8.0,13.6
242,4.725,107.557,-203.497,19.2,21.5,-27.6
243,11.576,118.174,-212.668,26.5,31.6,-21.5
244,13.615,-84.349,-191.379,-26.8,-19.4,17.9
245,-27.882,-84.634,-237.743,12.6,-0.5,37.9
246,-17.283,61.529,-234.045,22.8,15.0,-6.0
247,-85.62,-13.116,-213.102,23.1,-19.7,7.8
248,-59.117,-62.351,-220.024,13.2,-16.0,24.6
249,54.849,-67.412,-202.997,-26.3,2.5,18.6
250,68.317,30.058,-234.538,0.8,31.6,4.7
251,-10.914,-94.447,-198.718,-14.3,-20.0,26.0
252,71.111,-92.128,-213.644,-18.9,16.8,36.8
253,112.577,-40.623,-224.541,-14.1,38.6,29.9
254,76.026,52.194,-221.834,-1.5,33.8,-5.1
255,5.526,42.458,-194.965,-9.8,-6.5,-29.0
256,112.27,37.87,-215.351,-9.3,43.1,2.6
257,-0.92,111.881,-231.276,34.5,34.2,-10.8
258,93.552,58.51,-213.757,-5.0,39.1,-6.9
259,-28.888,106.873,-191.974,23.2,8.0,-34.1
260,-63.479,-82.518,-195.328,2.9,-31.0,23.8
261,45.744,107.986,-194.819,7.1,30.3,-30.5
262,110.76,24.624,-203.378,-19.6,35.8,-1.8
263,-83.639,25.704,-199.514,22.1,-22.3,-11.9
264,-56.704,65.643,-193.354,18.4,-13.1,-28.5
265,-28.866,-107.726,-219.357,5.3,-9.1,40.9
266,-98.204,-74.855,-234.112,37.1,-8.7,43.2
267,-79.886,55.043,-223.674,36.6,0.1,-3.7
268,-54.546,-108.947,-205.367,7.5,-20.8,39.1
269,-26.528,59.364,-197.247,6.9,-7.9,-28.8
270,-36.774,19.191,-223.685,13.8,-4.2,-3.3
271,-76.824,27.265,-213.985,25.6,-12.4,-4.9
272,40.165,-73.491,-217.188,-15.2,4.9,25.7
273,45.041,63.589,-218.282,2.7,24.4,-13.6
274,-23.992,35.899,-216.124,9.4,-2.8,-12.5
275,15.861,-84.812,-223.984,-6.3,1.5,31.8
276,-47.719,-65.221,-210.603,3.8,-20.7,20.1
277,78.978,-77.409,-228.051,-11.8,26.0,37.5
278,75.148,-80.722,-199.869,-28.7,10.7,26.9
279,11.727,60.681,-238.755,18.3,23.4,-3.3
280,-94.91,-39.859,-238.866,36.7,-6.1,31.5
281,68.355,40.849,-225.11,-2.1,29.7,-2.7
282,82.993,67.145,-219.732,1.4,39.3,-6.9
283,-76.542,-77.532,-195.864,9.2,-31.6,24.0
284,27.571,-60.479,-230.184,-5.8,7.4,25.1
285,34.575,78.503,-232.432,16.6,31.6,-7.5
286,101.459,-3.489,-197.733,-28.3,25.0,0.2
287,81.29,-11.174,-196.43,-30.5,13.7,-3.3
288,-64.833,-4.243,-221.667,19.3,-12.3,5.5
289,-91.472,-5.724,-235.924,36.0,-5.2,18.7
290,17.06,-57.448,-239.817,1.6,9.5,27.7
291,-106.656,-37.499,-201.998,26.7,-28.0,16.5
292,-94.628,16.517,-199.53,25.5,-24.2,-6.7
293,-91.736,-53.271,-202.13,19.0,-28.5,19.1
294,50.976,-53.158,-190.208,-35.4,-6.9,5.1
295,-57.143,-58.718,-225.92,15.4,-12.2,25.5
296,-77.209,69.474,-226.175,40.2,6.0,-4.5
297,-48.268,21.235,-234.243,23.0,0.8,3.5
298,-56.788,-2.898,-215.036,13.1,-15.6,0.1
299,-24.283,-116.448,-201.516,-5.1,-17.8,38.6
300,69.791,-41.532,-205.678,-25.8,10.6,11.1
301,-91.6,-10.521,-193.364,17.4,-32.5,-2.7
302,-72.034,-58.766,-236.29,26.2,-7.2,32.4
303,49.192,58.335,-209.019,-4.8,20.2,-18.2
304,58.922,-77.431,-230.522,-9.1,19.0,35.2
305,45.009,46.817,-226.866,2.7,23.8,-6.0
306,-81.904,-78.468,-193.38,10.6,-33.2,24.6
307,-15.535,-15.781,-204.705,-9.1,-17.5,-5.8
308,19.309,-39.993,-215.443,-13.0,-3.2,9.5
309,-9.725,-31.486,-198.391,-16.5,-21.9,-3.7
310,53.249,39.467,-235.836,5.0,28.8,1.4
311,-61.329,70.804,-215.61,30.9,1.7,-13.7
312,-111.709,37.803,-224.463,46.0,-4.0,7.5
313,-57.52,24.04,-232.274,25.7,-0.8,3.0
314,55.006,41.033,-203.846,-13.8,15.4,-18.1
315,-29.949,76.621,-196.087,13.4,-3.0,-30.8
316,-38.53,30.786,-210.145,9.9,-10.2,-14.1
317,93.988,-21.03,-208.227,-23.5,24.1,9.9
318,-65.54,0.285,-225.247,21.8,-9.6,6.3
319,-27.996,101.676,-236.488,39.2,27.8,-6.8
320,-123.54,-18.558,-208.822,38.8,-21.5,18.1
321,12.095,19.753,-203.682,-11.6,-4.9,-17.7
322,44.259,116.296,-224.344,25.8,44.1,-12.5
323,79.139,81.246,-235.874,15.2,47.7,0.4
324,-32.689,-107.672,-208.767,0.7,-16.1,37.4
325,63.074,-76.953,-202.325,-26.8,6.2,24.0
326,-33.55,104.152,-193.275,24.1,6.5,-32.9
327,66.913,-25.918,-195.741,-31.8,5.0,-1.2
328,-7.944,-86.938,-221.39,-2.0,-6.0,31.4
329,-37.339,-5.685,-217.397,6.8,-12.1,-0.1
330,74.178,-8.929,-212.865,-19.0,18.4,3.8
331,-44.536,43.161,-191.87,5.9,-20.0,-28.4
332,-35.731,-46.029,-237.222,13.8,-2.9,23.5
333,-21.357,-50.251,-223.548,1.8,-8.7,17.6
334,-35.019,-30.261,-228.157,9.4,-7.5,13.5
335,14.378,-20.509,-214.828,-11.1,-3.7,1.7
336,-99.726,56.661,-237.927,49.8,8.3,8.7
337,-98.413,-22.105,-222.592,32.0,-14.7,18.7
338,72.614,94.768,-192.161,-3.5,34.1,-28.0
339,41.103,79.25,-229.76,14.5,32.6,-8.5
340,85.283,75.678,-217.038,2.7,41.5,-8.9
341,29.898,119.993,-231.378,32.6,44.4,-9.6
342,-79.039,-50.085,-193.885,8.7,-34.1,10.8
343,-11.249,-87.416,-236.522,7.4,2.1,37.8
344,62.106,-74.715,-225.505,-12.4,17.6,32.5
345,108.32,-16.239,-200.736,-27.4,28.3,8.3
346,9.558,-2.588,-222.073,-3.6,1.2,-0.1
347,-82.8,84.117,-197.97,36.5,-5.1,-21.7
348,26.24,-69.331,-213.871,-15.3,-2.0,21.3
349,66.823,-86.828,-207.984,-22.6,11.6,31.5
350,-42.644,-57.134,-214.726,4.0,-17.6,17.9
351,97.328,-74.622,-223.967,-14.6,32.2,38.7
352,-22.26,57.715,-195.05,3.7,-9.0,-30.5
353,-99.01,-65.796,-238.844,39.0,-6.3,41.8
354,-42.44,28.282,-228.99,19.9,-0.1,-1.6
355,16.847,-122.01,-198.884,-17.0,-8.1,40.1
356,34.446,47.037,-232.545,7.4,23.2,-3.8
357,-11.342,-65.666,-229.265,2.3,-3.2,25.9
358,26.639,-58.156,-227.819,-7.1,5.8,23.0
359,92.047,-29.407,-216.909,-18.6,26.4,16.8
360,-88.444,17.833,-194.237,20.6,-27.6,-12.1
361,-45.244,78.903,-191.463,17.6,-7.6,-32.6
362,-20.191,-118.592,-194.474,-10.3,-21.1,37.1
363,-114.369,33.28,-195.61,36.5,-22.4,-7.3
364,-32.563,44.305,-219.516,15.8,-0.2,-11.3
365,-4.282,-62.072,-195.39,-20.8,-23.2,8.4
366,29.125,40.056,-226.244,3.1,17.0,-6.7
367,-113.905,-27.323,-236.265,44.3,-6.6,31.2
368,-45.403,28.185,-204.176,8.8,-15.7,-16.6
369,-7.542,13.895,-210.74,-3.2,-7.2,-11.6
370,-97.415,-7.715,-190.143,19.3,-34.2,-4.0
371,-10.362,48.913,-198.947,-0.7,-6.6,-27.0
372,-62.057,101.787,-221.969,43.3,16.7,-11.6
373,-11.721,97.124,-207.528,20.9,15.1,-24.9
374,-91.811,-84.182,-204.982,21.7,-25.3,34.1
375,69.761,19.522,-226.009,-6.3,26.6,2.4
376,14.305,97.625,-217.48,19.6,26.1,-18.6
377,102.125,-8.905,-224.224,-12.4,35.4,16.3
378,-112.671,49.804,-198.743,40.2,-16.2,-9.2
379,46.343,-95.506,-231.893,-5.6,16.6,41.7
380,-5.93,77.325,-201.322,8.8,5.6,-28.4
381,0.617,90.97,-231.699,26.6,26.9,-10.1
382,4.73,-50.114,-235.039,1.5,3.7,22.5
383,13.494,-104.083,-231.364,0.3,6.9,43.0
384,10.002,-61.106,-235.515,0.6,5.3,26.9
385,37.711,73.775,-199.286,-3.6,16.6,-27.7
386,92.495,1.105,-219.708,-13.9,30.4,8.5
387,5.144,119.375,-213.95,28.9,31.2,-20.8
388,-108.971,-3.647,-238.416,44.4,-3.3,23.8
389,-102.763,-9.172,-231.284,38.5,-8.2,20.1
390,114.117,50.168,-190.072,-21.6,38.2,-14.2
391,57.048,-88.527,-197.29,-28.7,1.6,26.5
392,0.305,86.711,-202.778,11.4,11.5,-28.0
393,79.821,-33.195,-237.267,-6.4,30.0,25.3
394,2.435,-123.48,-233.4,6.8,8.0,52.1
395,-35.275,-71.108,-229.632,9.8,-7.1,29.6
396,18.782,48.654,-232.108,10.3,18.9,-5.3
397,-24.246,-12.139,-230.21,8.7,-2.9,7.9
398,109.75,51.578,-236.815,6.5,52.2,11.4
399,59.396,53.658,-238.374,9.3,35.1,1.5
400,23.519,-97.428,-212.782,-13.4,-1.4,33.4
401,-9.158,-65.15,-207.213,-11.5,-16.2,15.7
402,-16.991,93.225,-214.942,24.1,16.1,-20.0
403,10.037,-119.054,-220.254,-3.2,1.8,45.6
404,80.799,28.412,-199.402,-21.7,21.4,-13.3
405,-73.931,44.658,-224.911,32.5,-1.7,-2.5
406,71.567,69.618,-190.722,-14.7,24.7,-28.0
407,-37.157,-108.771,-204.392,-0.0,-19.3,36.7
408,-121.253,-21.881,-231.492,46.0,-8.6,29.4
409,42.499,8.05,-212.88,-13.7,8.3,-6.3
410,-94.049,-47.865,-197.497,18.1,-31.5,15.2
411,-6.587,65.471,-205.061,6.8,3.3,-24.9
412,-42.804,90.025,-236.508,39.2,21.5,-5.1
413,79.113,19.367,-196.308,-25.8,17.4,-13.5
414,119.111,4.047,-198.676,-25.6,35.1,3.9
415,33.158,22.929,-192.365,-23.2,-3.7,-25.1
416,58.666,-76.761,-193.713,-32.3,-0.6,19.5
417,-95.599,75.335,-228.352,49.3,8.7,0.1
418,40.81,108.265,-236.101,28.5,44.7,-6.0
419,-13.945,95.372,-226.875,29.3,23.2,-12.9
420,41.458,-98.416,-201.581,-23.1,-1.4,31.1
421,103.984,-51.68,-228.531,-12.3,36.3,33.3
422,4.365,-24.916,-233.772,2.0,4.1,13.1
423,72.583,-11.067,-204.922,-24.4,13.7,-0.3
424,65.992,44.019,-229.995,1.6,31.6,-0.8
425,-57.204,52.453,-236.401,33.2,8.1,0.2
426,-31.753,19.899,-190.856,-5.9,-24.8,-25.6
427,-54.392,-45.859,-196.706,-1.3,-31.0,5.7
428,105.025,62.901,-209.851,-5.8,43.6,-6.8
429,34.404,-43.474,-226.136,-9.2,7.5,17.2
430,-64.676,81.497,-230.478,40.9,13.2,-5.3
431,46.017,93.047,-217.968,12.8,33.7,-15.9
432,-0.924,-94.385,-223.634,-1.9,-2.3,35.5
433,-80.98,-46.013,-218.25,21.5,-18.3,21.2
434,-101.528,-11.379,-224.271,34.9,-12.6,16.9
435,38.385,44.473,-230.15,4.9,22.6,-4.4
436,-72.038,77.448,-217.365,37.3,4.1,-11.5
437,2.382,78.817,-226.74,19.8,20.9,-12.3
438,28.1,-34.945,-216.339,-13.9,0.4,8.6
439,40.304,-3.964,-210.753,-16.6,4.5,-4.2
440,-46.942,72.305,-220.823,28.6,6.7,-12.7
441,102.517,66.4,-206.455,-6.7,42.3,-10.0
442,18.748,-110.934,-207.015,-14.2,-4.5,37.5
443,72.406,60.681,-221.11,0.7,34.3,-7.4
444,-80.737,-59.339,-223.167,23.7,-15.3,28.5
445,-3.299,113.651,-235.582,37.6,36.3,-8.3
446,81.078,-92.064,-234.412,-7.1,31.2,46.5
447,99.56,-4.44,-227.214,-10.1,35.9,15.8
448,38.972,42.069,-224.482,1.0,19.6,-7.3
449,-17.162,-100.346,-217.959,-0.1,-8.7,36.4
450,-63.552,55.351,-211.572,25.8,-5.8,-14.1
451,10.485,-3.53,-197.95,-19.4,-13.5,-14.7
452,-4.072,-108.568,-218.759,-2.2,-4.3,40.1
453,-92.768,-30.561,-234.185,34.1,-8.4,25.7
454,2.361,118.899,-194.453,20.8,22.0,-33.0
455,-37.984,27.172,-208.102,7.9,-12.3,-14.6
456,98.18,-53.68,-209.296,-23.9,25.4,24.1
457,68.969,-70.295,-234.621,-7.7,24.6,35.6
458,82.757,34.912,-203.107,-17.8,25.1,-12.0
459,7.164,37.189,-204.849,-5.5,-1.6,-20.9
460,79.012,-32.061,-225.957,-13.0,24.6,19.3
461,70.774,67.956,-199.919,-9.4,27.4,-21.7
462,51.748,24.088,-210.327,-13.4,13.4,-10.8
463,93.889,7.965,-235.258,-3.7,38.2,15.3
464,-6.611,6.206,-233.017,7.7,4.6,3.6
465,-49.168,70.969,-210.8,24.7,0.4,-18.5
466,65.153,83.121,-205.615,0.1,32.2,-20.3
467,-52.132,103.382,-214.364,37.9,14.4,-17.5
468,15.319,46.149,-205.08,-4.8,3.5,-22.1
469,-1.974,-48.096,-211.399,-10.9,-11.9,10.2
470,-38.745,54.156,-238.873,29.0,12.1,-0.8
471,25.404,65.69,-216.818,5.7,18.1,-16.5
472,33.274,54.068,-224.866,5.3,21.0,-9.5
473,104.362,33.154,-216.954,-9.7,39.3,2.1
474,-6.954,3.513,-234.239,8.1,4.8,5.0
475,-0.365,95.692,-231.759,28.5,28.4,-10.3
